second,Volt
-45.800E-03,-4.020E-03
-45.700E-03,-7.926E-03
-45.600E-03,-5.115E-03
-45.500E-03,-5.969E-03
-45.400E-03,-6.030E-03
-45.300E-03,+6.384E-03
-45.200E-03,-2.403E-03
-45.100E-03,-4.020E-03
-45.000E-03,-644E-06
-44.900E-03,-2.858E-03
-44.800E-03,-5.701E-03
-44.700E-03,-4.210E-03
-44.600E-03,+1.188E-03
-44.500E-03,-4.463E-03
-44.400E-03,-4.020E-03
-44.300E-03,-4.274E-03
-44.200E-03,-2.783E-03
-44.100E-03,-4.739E-03
-44.000E-03,-4.421E-03
-43.900E-03,+5.394E-03
-43.800E-03,-2.847E-03
-43.700E-03,-4.675E-03
-43.600E-03,-4.020E-03
-43.500E-03,-7.463E-03
-43.400E-03,-2.010E-03
-43.300E-03,-4.020E-03
-43.200E-03,-4.020E-03
-43.100E-03,-5.583E-03
-43.000E-03,-4.020E-03
-42.900E-03,-6.030E-03
-42.800E-03,-18.039E-03
-42.700E-03,-5.043E-03
-42.600E-03,-6.030E-03
-42.500E-03,+625E-06
-42.400E-03,-5.973E-03
-42.300E-03,-5.747E-03
-42.200E-03,-13.511E-03
-42.100E-03,-4.020E-03
-42.000E-03,-6.030E-03
-41.900E-03,-7.950E-03
-41.800E-03,-3.713E-03
-41.700E-03,-5.364E-03
-41.600E-03,-5.844E-03
-41.500E-03,-6.030E-03
-41.400E-03,-5.594E-03
-41.300E-03,-4.020E-03
-41.200E-03,-8.790E-03
-41.100E-03,-4.493E-03
-41.000E-03,-7.317E-03
-40.900E-03,-2.419E-03
-40.800E-03,-7.726E-03
-40.700E-03,-8.040E-03
-40.600E-03,-6.723E-03
-40.500E-03,-2.010E-03
-40.400E-03,-9.293E-03
-40.300E-03,-2.692E-03
-40.200E-03,-1.416E-03
-40.100E-03,-7.814E-03
-40.000E-03,-3.339E-03
-39.900E-03,-4.982E-03
-39.800E-03,-7.510E-03
-39.700E-03,-6.030E-03
-39.600E-03,-4.527E-03
-39.500E-03,-6.030E-03
-39.400E-03,-6.961E-03
-39.300E-03,-6.030E-03
-39.200E-03,-5.735E-03
-39.100E-03,-8.619E-03
-39.000E-03,-9.248E-03
-38.900E-03,-4.373E-03
-38.800E-03,-8.778E-03
-38.700E-03,-4.020E-03
-38.600E-03,-5.357E-03
-38.500E-03,-5.848E-03
-38.400E-03,-2.010E-03
-38.300E-03,-3.657E-03
-38.200E-03,-7.495E-03
-38.100E-03,-7.548E-03
-38.000E-03,-7.560E-03
-37.900E-03,-4.020E-03
-37.800E-03,-2.772E-03
-37.700E-03,-4.020E-03
-37.600E-03,-4.849E-03
-37.500E-03,-8.703E-03
-37.400E-03,-8.040E-03
-37.300E-03,-5.655E-03
-37.200E-03,-7.817E-03
-37.100E-03,-8.638E-03
-37.000E-03,-17.693E-03
-36.900E-03,-3.834E-03
-36.800E-03,-4.020E-03
-36.700E-03,-6.973E-03
-36.600E-03,-6.075E-03
-36.500E-03,-6.030E-03
-36.400E-03,-6.064E-03
-36.300E-03,+2.143E-03
-36.200E-03,-6.178E-03
-36.100E-03,-4.894E-03
-36.000E-03,-6.030E-03
-35.900E-03,-17.236E-03
-35.800E-03,-6.030E-03
-35.700E-03,-4.652E-03
-35.600E-03,-4.879E-03
-35.500E-03,-6.030E-03
-35.400E-03,-2.188E-03
-35.300E-03,-8.120E-03
-35.200E-03,-7.620E-03
-35.100E-03,-5.754E-03
-35.000E-03,-5.788E-03
-34.900E-03,-8.040E-03
-34.800E-03,-6.030E-03
-34.700E-03,-4.444E-03
-34.600E-03,-6.337E-03
-34.500E-03,-5.205E-03
-34.400E-03,-7.363E-03
-34.300E-03,-2.305E-03
-34.200E-03,-5.659E-03
-34.100E-03,-5.141E-03
-34.000E-03,-3.214E-03
-33.900E-03,-4.103E-03
-33.800E-03,-6.030E-03
-33.700E-03,-5.076E-03
-33.600E-03,-7.503E-03
-33.500E-03,-8.021E-03
-33.400E-03,-8.040E-03
-33.300E-03,-7.048E-03
-33.200E-03,-6.503E-03
-33.100E-03,-8.040E-03
-33.000E-03,-2.574E-03
-32.900E-03,-8.040E-03
-32.800E-03,-6.439E-03
-32.700E-03,-8.040E-03
-32.600E-03,-5.402E-03
-32.500E-03,-6.893E-03
-32.400E-03,-6.030E-03
-32.300E-03,-7.866E-03
-32.200E-03,-6.030E-03
-32.100E-03,-5.618E-03
-32.000E-03,-7.200E-03
-31.900E-03,-6.030E-03
-31.800E-03,-6.787E-03
-31.700E-03,-10.592E-03
-31.600E-03,-6.030E-03
-31.500E-03,-7.737E-03
-31.400E-03,-6.030E-03
-31.300E-03,-8.040E-03
-31.200E-03,-6.030E-03
-31.100E-03,-2.010E-03
-31.000E-03,-5.792E-03
-30.900E-03,-5.232E-03
-30.800E-03,-15.645E-03
-30.700E-03,-10.050E-03
-30.600E-03,-5.080E-03
-30.500E-03,-5.103E-03
-30.400E-03,-11.992E-03
-30.300E-03,-8.067E-03
-30.200E-03,-7.007E-03
-30.100E-03,-10.527E-03
-30.000E-03,-4.145E-03
-29.900E-03,-7.711E-03
-29.800E-03,-6.030E-03
-29.700E-03,-6.443E-03
-29.600E-03,-2.434E-03
-29.500E-03,-11.572E-03
-29.400E-03,-8.593E-03
-29.300E-03,-10.050E-03
-29.200E-03,-3.850E-03
-29.100E-03,-6.719E-03
-29.000E-03,-7.238E-03
-28.900E-03,-8.324E-03
-28.800E-03,+837E-06
-28.700E-03,-6.534E-03
-28.600E-03,-409E-06
-28.500E-03,+912E-06
-28.400E-03,-6.628E-03
-28.300E-03,-8.483E-03
-28.200E-03,-5.356E-03
-28.100E-03,-8.040E-03
-28.000E-03,-6.757E-03
-27.900E-03,-8.040E-03
-27.800E-03,-6.640E-03
-27.700E-03,-10.141E-03
-27.600E-03,-8.040E-03
-27.500E-03,-6.976E-03
-27.400E-03,-6.030E-03
-27.300E-03,-9.997E-03
-27.200E-03,-8.040E-03
-27.100E-03,-9.040E-03
-27.000E-03,-8.040E-03
-26.900E-03,-12.023E-03
-26.800E-03,-11.504E-03
-26.700E-03,-11.125E-03
-26.600E-03,-8.457E-03
-26.500E-03,-9.948E-03
-26.400E-03,-12.829E-03
-26.300E-03,-8.911E-03
-26.200E-03,-10.755E-03
-26.100E-03,-9.884E-03
-26.000E-03,-9.365E-03
-25.900E-03,-8.040E-03
-25.800E-03,-8.328E-03
